16/06/21 15:09:33
161 seconds passed 
CONTAINER           CPU %               MEM USAGE / LIMIT     MEM %               NET I/O               BLOCK I/O           PIDS
5b99ba7a321b        0.72%               1.007 GB / 16.78 GB   6.00%               14 MB / 1.708 MB      0 B / 77.82 kB      0
6fcb7d6556d0        0.08%               100.4 MB / 16.78 GB   0.60%               397 MB / 979.9 MB     0 B / 5.632 MB      0
a807a17d1bd8        0.00%               7.725 MB / 16.78 GB   0.05%               307.9 MB / 1.111 GB   0 B / 0 B           0
942b37b9b20c        0.03%               48.55 MB / 16.78 GB   0.29%               2.126 GB / 954.5 MB   0 B / 36.86 kB      0
16/06/21 15:09:35
163 seconds passed 
CONTAINER           CPU %               MEM USAGE / LIMIT     MEM %               NET I/O               BLOCK I/O           PIDS
5b99ba7a321b        12.27%              1.007 GB / 16.78 GB   6.00%               14.19 MB / 1.733 MB   0 B / 77.82 kB      0
6fcb7d6556d0        18.47%              100.4 MB / 16.78 GB   0.60%               397.3 MB / 980.5 MB   0 B / 5.632 MB      0
a807a17d1bd8        7.84%               7.725 MB / 16.78 GB   0.05%               308.1 MB / 1.112 GB   0 B / 0 B           0
942b37b9b20c        92.26%              48.78 MB / 16.78 GB   0.29%               2.127 GB / 955.2 MB   0 B / 36.86 kB      0
16/06/21 15:09:37
165 seconds passed 
CONTAINER           CPU %               MEM USAGE / LIMIT     MEM %               NET I/O               BLOCK I/O           PIDS
5b99ba7a321b        4.05%               1.007 GB / 16.78 GB   6.00%               14.29 MB / 1.745 MB   0 B / 77.82 kB      0
6fcb7d6556d0        4.98%               100.4 MB / 16.78 GB   0.60%               397.5 MB / 980.7 MB   0 B / 5.632 MB      0
a807a17d1bd8        2.37%               7.725 MB / 16.78 GB   0.05%               308.3 MB / 1.112 GB   0 B / 0 B           0
942b37b9b20c        28.51%              48.79 MB / 16.78 GB   0.29%               2.128 GB / 955.5 MB   0 B / 36.86 kB      0
16/06/21 15:09:39
167 seconds passed 
CONTAINER           CPU %               MEM USAGE / LIMIT     MEM %               NET I/O               BLOCK I/O           PIDS
5b99ba7a321b        0.72%               1.007 GB / 16.78 GB   6.00%               14.33 MB / 1.749 MB   0 B / 77.82 kB      0
