16/06/21 16:11:25
122 seconds passed 
CONTAINER           CPU %               MEM USAGE / LIMIT     MEM %               NET I/O               BLOCK I/O           PIDS
f2b9f2d5b748        0.40%               692.3 MB / 16.78 GB   4.13%               10.93 MB / 1.676 MB   0 B / 69.63 kB      0
6fcb7d6556d0        0.08%               101.7 MB / 16.78 GB   0.61%               429.5 MB / 1.054 GB   0 B / 5.632 MB      0
a807a17d1bd8        0.00%               7.725 MB / 16.78 GB   0.05%               331.2 MB / 1.194 GB   0 B / 0 B           0
942b37b9b20c        0.02%               49.36 MB / 16.78 GB   0.29%               2.286 GB / 1.024 GB   0 B / 36.86 kB      0
16/06/21 16:11:27
124 seconds passed 
CONTAINER           CPU %               MEM USAGE / LIMIT     MEM %               NET I/O               BLOCK I/O           PIDS
f2b9f2d5b748        9.68%               692.2 MB / 16.78 GB   4.13%               11.15 MB / 1.696 MB   0 B / 69.63 kB      0
6fcb7d6556d0        11.79%              101.7 MB / 16.78 GB   0.61%               429.7 MB / 1.055 GB   0 B / 5.632 MB      0
a807a17d1bd8        4.77%               7.725 MB / 16.78 GB   0.05%               331.3 MB / 1.195 GB   0 B / 0 B           0
942b37b9b20c        57.71%              49.26 MB / 16.78 GB   0.29%               2.287 GB / 1.025 GB   0 B / 36.86 kB      0
16/06/21 16:11:29
126 seconds passed 
CONTAINER           CPU %               MEM USAGE / LIMIT     MEM %               NET I/O               BLOCK I/O           PIDS
f2b9f2d5b748        3.14%               692.2 MB / 16.78 GB   4.13%               11.24 MB / 1.704 MB   0 B / 69.63 kB      0
6fcb7d6556d0        4.20%               101.8 MB / 16.78 GB   0.61%               429.8 MB / 1.055 GB   0 B / 5.632 MB      0
a807a17d1bd8        1.58%               7.725 MB / 16.78 GB   0.05%               331.4 MB / 1.195 GB   0 B / 0 B           0
942b37b9b20c        21.36%              49.22 MB / 16.78 GB   0.29%               2.287 GB / 1.025 GB   0 B / 36.86 kB      0
16/06/21 16:11:31
128 seconds passed 
CONTAINER           CPU %               MEM USAGE / LIMIT     MEM %               NET I/O               BLOCK I/O           PIDS
f2b9f2d5b748        1.90%               692.2 MB / 16.78 GB   4.13%               11.24 MB / 1.704 MB   0 B / 69.63 kB      0
6fcb7d6556d0        0.09%               101.7 MB / 16.78 GB   0.61%               429.8 MB / 1.055 GB   0 B / 5.632 MB      0
a807a17d1bd8        0.00%               7.725 MB / 16.78 GB   0.05%               331.4 MB / 1.195 GB   0 B / 0 B           0
942b37b9b20c        0.03%               49.09 MB / 16.78 GB   0.29%               2.287 GB / 1.025 GB   0 B / 36.86 kB      0
16/06/21 16:11:33
130 seconds passed 
CONTAINER           CPU %               MEM USAGE / LIMIT     MEM %               NET I/O               BLOCK I/O           PIDS
f2b9f2d5b748        0.39%               692.2 MB / 16.78 GB   4.13%               11.24 MB / 1.704 MB   0 B / 69.63 kB      0
6fcb7d6556d0        0.09%               101.7 MB / 16.78 GB   0.61%               429.8 MB / 1.055 GB   0 B / 5.632 MB      0
a807a17d1bd8        0.00%               7.725 MB / 16.78 GB   0.05%               331.4 MB / 1.195 GB   0 B / 0 B           0
942b37b9b20c        0.03%               49.09 MB / 16.78 GB   0.29%               2.287 GB / 1.025 GB   0 B / 36.86 kB      0
16/06/21 16:11:35
132 seconds passed 
CONTAINER           CPU %               MEM USAGE / LIMIT     MEM %               NET I/O               BLOCK I/O           PIDS
f2b9f2d5b748        0.40%               692.2 MB / 16.78 GB   4.13%               11.24 MB / 1.704 MB   0 B / 69.63 kB      0
6fcb7d6556d0        0.09%               101.7 MB / 16.78 GB   0.61%               429.8 MB / 1.055 GB   0 B / 5.632 MB      0
a807a17d1bd8        0.00%               7.725 MB / 16.78 GB   0.05%               331.4 MB / 1.195 GB   0 B / 0 B           0
942b37b9b20c        0.02%               49.09 MB / 16.78 GB   0.29%               2.287 GB / 1.025 GB   0 B / 36.86 kB      0
16/06/21 16:11:37
134 seconds passed 
CONTAINER           CPU %               MEM USAGE / LIMIT     MEM %               NET I/O               BLOCK I/O           PIDS
f2b9f2d5b748        13.19%              692.3 MB / 16.78 GB   4.13%               11.25 MB / 1.711 MB   0 B / 69.63 kB      0
6fcb7d6556d0        11.25%              101.9 MB / 16.78 GB   0.61%               430 MB / 1.055 GB     0 B / 5.632 MB      0
a807a17d1bd8        3.33%               7.725 MB / 16.78 GB   0.05%               331.5 MB / 1.195 GB   0 B / 0 B           0
942b37b9b20c        26.15%              49.11 MB / 16.78 GB   0.29%               2.288 GB / 1.025 GB   0 B / 36.86 kB      0
16/06/21 16:11:39
136 seconds passed 
CONTAINER           CPU %               MEM USAGE / LIMIT     MEM %               NET I/O               BLOCK I/O           PIDS
f2b9f2d5b748        1.22%               692.3 MB / 16.78 GB   4.13%               11.26 MB / 1.715 MB   0 B / 69.63 kB      0
6fcb7d6556d0        6.49%               101.7 MB / 16.78 GB   0.61%               430 MB / 1.055 GB     0 B / 5.632 MB      0
a807a17d1bd8        1.31%               7.725 MB / 16.78 GB   0.05%               331.5 MB / 1.195 GB   0 B / 0 B           0
942b37b9b20c        13.71%              49.5 MB / 16.78 GB    0.30%               2.288 GB / 1.025 GB   0 B / 36.86 kB      0
16/06/21 16:11:41
138 seconds passed 
CONTAINER           CPU %               MEM USAGE / LIMIT     MEM %               NET I/O               BLOCK I/O           PIDS
f2b9f2d5b748        1.23%               692.3 MB / 16.78 GB   4.13%               11.26 MB / 1.716 MB   0 B / 69.63 kB      0
6fcb7d6556d0        0.08%               101.7 MB / 16.78 GB   0.61%               430.1 MB / 1.055 GB   0 B / 5.632 MB      0
a807a17d1bd8        0.00%               7.725 MB / 16.78 GB   0.05%               331.5 MB / 1.195 GB   0 B / 0 B           0
942b37b9b20c        0.02%               48.87 MB / 16.78 GB   0.29%               2.288 GB / 1.025 GB   0 B / 36.86 kB      0
16/06/21 16:11:43
140 seconds passed 
CONTAINER           CPU %               MEM USAGE / LIMIT     MEM %               NET I/O               BLOCK I/O           PIDS
